AxIS Spike File,Z:\Z_basket\EndPoints\230928_LvM_256296_97-4434_MEA_rCortex_Acute_DDT_Baseline_Female_DIV10(000)(000).spk
File Type,48-well

Analysis Start,1200.000000
Analysis End,1800.000000
Active Electrode Criterion (spks/min), 6
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,True

Electrode Burst Settings,
    Algorithm,Poisson Surprise,
    Min Surprise,10.000000

Network Burst Settings,
    Algorithm,ISI Threshold,Adaptive,
    Min # of Spikes,40.000000
    Min # of Electrodes (%),15.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),100.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,
Treatment/ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity Metrics
    Number of Spikes,16640.000000,10492.000000,16293.000000,18305.000000,9567.000000,18971.000000,14424.000000,13578.000000,18456.000000,13349.000000,18298.000000,17793.000000,10078.000000,11600.000000,9494.000000,16399.000000,13398.000000,9318.000000,16334.000000,7793.000000,11189.000000,11371.000000,9804.000000,26926.000000,21738.000000,14975.000000,18772.000000,13226.000000,11683.000000,8973.000000,12988.000000,21145.000000,10978.000000,18245.000000,20823.000000,10554.000000,14883.000000,11306.000000,10808.000000,13121.000000,18251.000000,14403.000000,9867.000000,13488.000000,11152.000000,10386.000000,10795.000000,9458.000000
    Mean Firing Rate (Hz),1.733333,1.092917,1.697188,1.906771,0.996563,1.976146,1.502500,1.414375,1.922500,1.390521,1.906042,1.853438,1.049792,1.208333,0.988958,1.708229,1.395625,0.970625,1.701458,0.811771,1.165521,1.184479,1.021250,2.804792,2.264375,1.559896,1.955417,1.377708,1.216979,0.934688,1.352917,2.202604,1.143542,1.900521,2.169062,1.099375,1.550313,1.177708,1.125833,1.366771,1.901146,1.500312,1.027813,1.405000,1.161667,1.081875,1.124479,0.985208
    ISI Coefficient of Variation - Avg,7.105007,4.544340,5.844812,4.369923,11.345259,6.318550,5.257876,7.369695,5.435005,8.870986,5.993004,4.729603,9.981271,7.493099,6.188770,7.573942,8.439708,8.425665,7.016763,5.922066,7.398992,9.125395,7.141299,6.579063,6.712867,5.951508,9.207462,4.865680,8.770184,6.553784,7.529948,5.519009,7.946460,6.800346,8.817972,7.771084,8.451444,7.270579,7.160721,11.129298,4.455072,6.272566,3.727941,8.287430,6.027863,11.039379,7.221679,4.478457
    Number of Active Electrodes,14.000000,13.000000,15.000000,16.000000,16.000000,16.000000,16.000000,14.000000,16.000000,16.000000,14.000000,16.000000,16.000000,16.000000,16.000000,15.000000,15.000000,15.000000,14.000000,13.000000,15.000000,16.000000,16.000000,16.000000,16.000000,15.000000,16.000000,16.000000,16.000000,15.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,15.000000,16.000000,16.000000,16.000000,16.000000,16.000000
    Weighted Mean Firing Rate (Hz),1.980952,1.332692,1.810333,1.906771,0.996563,1.976146,1.502500,1.609167,1.922500,1.390521,2.178333,1.853438,1.049792,1.208333,0.988958,1.822111,1.488667,1.035333,1.942619,0.999103,1.243222,1.184479,1.021250,2.804792,2.264375,1.663889,1.955417,1.377708,1.216979,0.991889,1.352917,2.202604,1.143542,1.900521,2.169062,1.099375,1.550313,1.177708,1.125833,1.366771,1.901146,1.500313,1.090778,1.405000,1.161667,1.081875,1.124479,0.985208
Electrode Burst Metrics
    Number of Bursts,499.000000,452.000000,602.000000,930.000000,193.000000,604.000000,639.000000,442.000000,479.000000,289.000000,308.000000,353.000000,227.000000,434.000000,341.000000,341.000000,319.000000,187.000000,233.000000,223.000000,294.000000,336.000000,216.000000,836.000000,462.000000,333.000000,615.000000,449.000000,228.000000,257.000000,325.000000,431.000000,278.000000,520.000000,523.000000,303.000000,683.000000,288.000000,334.000000,394.000000,910.000000,432.000000,571.000000,397.000000,351.000000,99.000000,272.000000,519.000000
    Number of Bursting Electrodes,14.000000,14.000000,15.000000,16.000000,16.000000,16.000000,16.000000,15.000000,16.000000,16.000000,14.000000,16.000000,16.000000,16.000000,16.000000,15.000000,15.000000,15.000000,14.000000,13.000000,15.000000,16.000000,16.000000,16.000000,16.000000,15.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,15.000000,16.000000,16.000000,16.000000,16.000000,16.000000
    Burst Duration - Avg (sec),0.144555,0.096433,0.138588,0.112535,0.396428,0.150595,0.110548,0.145034,0.159789,0.565733,0.320437,0.206914,0.410476,0.160083,0.318133,0.317700,0.273674,0.404318,0.357922,0.188982,0.290213,0.433041,0.339736,0.137816,0.244542,0.184861,0.152464,0.190999,0.500353,0.320455,0.296876,0.245103,0.371310,0.178835,0.179062,0.311523,0.100660,0.198007,0.235291,0.176831,0.101331,0.239991,0.080607,0.207361,0.187572,0.610040,0.226769,0.091737
    Burst Duration - Std (sec),0.076004,0.070476,0.135340,0.053326,0.135696,0.062826,0.060234,0.065036,0.063200,0.326629,0.271326,0.185844,0.252904,0.068631,0.241021,0.248558,0.119727,0.188504,0.385848,0.109335,0.120143,0.306489,0.056165,0.053785,0.121436,0.119022,0.049208,0.127690,0.289769,0.404581,0.061315,0.058965,0.399802,0.120625,0.061374,0.247395,0.028626,0.074024,0.160641,0.094736,0.062033,0.120051,0.044276,0.089631,0.074661,0.192480,0.091610,0.054542
    Number of Spikes per Burst - Avg,28.858957,18.351952,24.973730,18.499950,47.496840,27.187796,20.381095,26.449031,28.915473,39.103025,41.673695,23.841298,39.786554,24.897266,21.963168,43.388442,38.202037,42.114877,28.187412,32.285104,34.363422,29.101467,40.701485,26.261009,39.745451,26.337181,28.308901,24.180533,48.557379,19.203647,33.537705,36.026907,33.612936,29.292456,33.430478,29.719559,20.308534,36.406250,28.854963,29.608618,18.346740,31.206019,13.893741,31.902180,28.569535,91.416667,36.709559,14.979165
