AxIS Spike File,Z:\Kyra\230616_KZ_307034_5008-7_MEA_rCortex_Acute_Baseline_DDT_Male_DIV11(000)(000).spk
File Type,48-well

Analysis Start,1200.000000
Analysis End,1800.000000
Active Electrode Criterion (spks/min), 6
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,Poisson Surprise,
    Min Surprise,10.000000

Network Burst Settings,
    Algorithm,ISI Threshold,Adaptive,
    Min # of Spikes,40.000000
    Min # of Electrodes (%),15.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),100.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,
Treatment/ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity Metrics
    Number of Spikes,10067.000000,0.000000,12432.000000,5345.000000,9950.000000,4851.000000,0.000000,0.000000,8031.000000,11481.000000,0.000000,11840.000000,0.000000,164.000000,7026.000000,0.000000,11007.000000,17107.000000,8907.000000,5874.000000,5084.000000,3621.000000,11020.000000,12389.000000,22172.000000,18691.000000,8431.000000,3440.000000,0.000000,0.000000,0.000000,8784.000000,21322.000000,7263.000000,14773.000000,3196.000000,0.000000,4622.000000,0.000000,2331.000000,13173.000000,16.000000,4614.000000,8599.000000,7316.000000,1138.000000,4702.000000,0.000000
    Mean Firing Rate (Hz),1.048646,0.000000,1.295000,0.556771,1.036458,0.505313,0.000000,0.000000,0.836562,1.195938,0.000000,1.233333,0.000000,0.017083,0.731875,0.000000,1.146562,1.781979,0.927813,0.611875,0.529583,0.377188,1.147917,1.290521,2.309583,1.946979,0.878229,0.358333,0.000000,0.000000,0.000000,0.915000,2.221042,0.756563,1.538854,0.332917,0.000000,0.481458,0.000000,0.242812,1.372187,0.001667,0.480625,0.895729,0.762083,0.118542,0.489792,0.000000
    ISI Coefficient of Variation - Avg,3.786777, ,4.319786,3.314366,7.429264,3.179460, , ,4.294146,6.633467, ,4.843853, ,1.740926,2.784908, ,4.396698,7.174832,8.946323,3.919864,6.289004,8.213490,3.332770,5.113264,7.292664,7.067490,6.165004,7.598951, , , ,3.030897,5.540256,3.856042,6.835831,4.678355, ,2.915300, ,3.096445,4.307121, ,3.669172,2.689672,2.682346,2.461973,2.176402, 
    Number of Active Electrodes,16.000000,0.000000,12.000000,11.000000,14.000000,10.000000,0.000000,0.000000,15.000000,15.000000,0.000000,15.000000,0.000000,2.000000,12.000000,0.000000,16.000000,16.000000,15.000000,15.000000,11.000000,13.000000,16.000000,16.000000,16.000000,16.000000,16.000000,13.000000,0.000000,0.000000,0.000000,16.000000,16.000000,14.000000,15.000000,9.000000,0.000000,10.000000,0.000000,11.000000,15.000000,0.000000,10.000000,15.000000,14.000000,4.000000,10.000000,0.000000
    Weighted Mean Firing Rate (Hz),1.048646, ,1.714861,0.782121,1.179048,0.785167, , ,0.889222,1.270556, ,1.310333, ,0.131667,0.967500, ,1.146562,1.781979,0.983889,0.651556,0.749697,0.454744,1.147917,1.290521,2.309583,1.946979,0.878229,0.421667, , , ,0.915000,2.221042,0.861071,1.641444,0.559259, ,0.739833, ,0.339394,1.459556, ,0.748500,0.950000,0.869167,0.434167,0.766500, 
Electrode Burst Metrics
    Number of Bursts,640.000000,0.000000,599.000000,379.000000,644.000000,376.000000,0.000000,0.000000,556.000000,507.000000,0.000000,673.000000,0.000000,10.000000,528.000000,0.000000,555.000000,755.000000,424.000000,392.000000,245.000000,169.000000,770.000000,668.000000,653.000000,645.000000,308.000000,238.000000,0.000000,0.000000,0.000000,524.000000,909.000000,391.000000,646.000000,218.000000,0.000000,377.000000,0.000000,183.000000,596.000000,0.000000,223.000000,574.000000,316.000000,45.000000,259.000000,0.000000
    Number of Bursting Electrodes,16.000000,0.000000,12.000000,11.000000,14.000000,11.000000,0.000000,0.000000,14.000000,16.000000,0.000000,16.000000,0.000000,2.000000,11.000000,0.000000,14.000000,16.000000,15.000000,15.000000,12.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,0.000000,0.000000,0.000000,16.000000,16.000000,14.000000,15.000000,10.000000,0.000000,10.000000,0.000000,12.000000,15.000000,0.000000,13.000000,15.000000,14.000000,5.000000,9.000000,0.000000
    Burst Duration - Avg (sec),0.087100, ,0.154573,0.066716,0.080431,0.082906, , ,0.084084,0.108482, ,0.118282, ,0.349573,0.065120, ,0.099904,0.155729,0.204262,0.136429,0.216021,0.143435,0.059781,0.080274,0.260799,0.213863,0.260475,0.083258, , , ,0.078532,0.121299,0.106891,0.131250,0.071462, ,0.077698, ,0.073952,0.209580, ,0.109937,0.064204,0.084498,0.235027,0.109345, 
    Burst Duration - Std (sec),0.067726, ,0.043895,0.025299,0.012615,0.031035, , ,0.038440,0.050589, ,0.065500, ,0.094960,0.015701, ,0.024632,0.111661,0.119629,0.105917,0.347789,0.157979,0.021607,0.018536,0.102093,0.096696,0.122602,0.053962, , , ,0.023275,0.034362,0.049918,0.033493,0.032077, ,0.031198, ,0.031571,0.052502, ,0.031609,0.036265,0.059161,0.247293,0.052468, 
