AxIS Spike File,O:\TOX\NTX\Users\Arjun\201217_LvM_256139_1268-34_rCortex_MEA_Lindane_baseline_female_DIV10(000)_Spike Detector (7 x STD)(000).spk
File Type,48-well

Analysis Start,1200.000000
Analysis End,1800.000000
Active Electrode Criterion (spks/min),
Remove Coincident Artifacts,True

Electrode Burst Settings,
    Algorithm,Poisson Surprise,
    Min Surprise,10.000000

Network Burst Settings,
    Algorithm,ISI Threshold,Adaptive,
    Min # of Spikes,40.000000
    Min # of Electrodes (%),15.000000
Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),100.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,
Treatment/ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity Metrics
    Number of Spikes,25553.000000,11050.000000,17779.000000,14903.000000,21555.000000,12092.000000,14716.000000,28406.000000,20779.000000,16217.000000,12263.000000,20329.000000,12071.000000,13298.000000,10771.000000,19259.000000,16449.000000,13532.000000,32790.000000,10864.000000,22762.000000,12401.000000,26426.000000,30717.000000,23109.000000,19504.000000,11106.000000,13260.000000,17933.000000,17470.000000,27344.000000,32457.000000,15524.000000,18825.000000,18779.000000,22796.000000,8218.000000,22325.000000,26919.000000,13999.000000,20039.000000,13010.000000,13458.000000,23519.000000,15808.000000,19914.000000,20512.000000,28897.000000
    Mean Firing Rate (Hz),2.661771,1.151042,1.851979,1.552396,2.245312,1.259583,1.532917,2.958958,2.164479,1.689271,1.277396,2.117604,1.257396,1.385208,1.121979,2.006146,1.713437,1.409583,3.415625,1.131667,2.371042,1.291771,2.752708,3.199688,2.407188,2.031667,1.156875,1.381250,1.868021,1.819792,2.848333,3.380937,1.617083,1.960938,1.956146,2.374583,0.856042,2.325521,2.804063,1.458229,2.087396,1.355208,1.401875,2.449896,1.646667,2.074375,2.136667,3.010104
    ISI Coefficient of Variation - Avg,3.163040,2.512633,4.118658,3.593522,2.144688,2.144841,2.804154,3.044666,2.391427,2.931670,3.742150,4.227194,2.362036,3.168665,2.854278,2.576611,2.641466,2.076352,4.310743,3.288254,4.162455,2.891264,3.581008,3.466853,3.031688,2.985652,2.483225,2.819898,4.758504,3.059594,3.174178,3.080810,2.195268,2.821513,4.275196,4.385489,2.450865,3.473039,4.323936,2.299095,2.851560,2.445981,2.526843,3.162090,2.722129,2.536557,2.762638,3.680756
    Number of Active Electrodes,16.000000,12.000000,16.000000,12.000000,15.000000,14.000000,14.000000,16.000000,15.000000,13.000000,13.000000,14.000000,14.000000,15.000000,15.000000,16.000000,14.000000,15.000000,16.000000,14.000000,15.000000,14.000000,16.000000,16.000000,16.000000,14.000000,15.000000,14.000000,16.000000,16.000000,16.000000,16.000000,15.000000,12.000000,15.000000,14.000000,12.000000,14.000000,16.000000,13.000000,14.000000,14.000000,13.000000,15.000000,14.000000,16.000000,16.000000,16.000000
    Weighted Mean Firing Rate (Hz),2.661771,1.525972,1.851979,2.048333,2.395000,1.437738,1.750357,2.958958,2.308778,2.070385,1.571538,2.415476,1.435952,1.473444,1.195000,2.006146,1.951786,1.498444,3.415625,1.291071,2.528778,1.472024,2.752708,3.199688,2.407188,2.320238,1.233333,1.578571,1.868021,1.819792,2.848333,3.380937,1.724889,2.613611,2.086556,2.713095,1.138333,2.653452,2.804063,1.790128,2.382976,1.543333,1.725128,2.610667,1.880357,2.074375,2.136667,3.010104
Electrode Burst Metrics
    Number of Bursts,1530.000000,551.000000,918.000000,796.000000,775.000000,763.000000,645.000000,1799.000000,1030.000000,868.000000,727.000000,973.000000,815.000000,542.000000,696.000000,1140.000000,1165.000000,618.000000,1653.000000,719.000000,1129.000000,771.000000,1276.000000,1937.000000,1002.000000,1114.000000,706.000000,411.000000,788.000000,1113.000000,1446.000000,1628.000000,814.000000,1133.000000,910.000000,995.000000,573.000000,1457.000000,1359.000000,788.000000,1008.000000,808.000000,824.000000,1651.000000,857.000000,1392.000000,1275.000000,1843.000000
    Number of Bursting Electrodes,15.000000,12.000000,16.000000,11.000000,15.000000,14.000000,14.000000,16.000000,13.000000,13.000000,13.000000,15.000000,14.000000,15.000000,15.000000,16.000000,14.000000,14.000000,16.000000,13.000000,15.000000,13.000000,16.000000,16.000000,16.000000,13.000000,15.000000,14.000000,16.000000,16.000000,15.000000,16.000000,14.000000,12.000000,15.000000,14.000000,12.000000,14.000000,15.000000,13.000000,14.000000,14.000000,13.000000,15.000000,13.000000,16.000000,16.000000,16.000000
    Burst Duration - Avg (sec),0.105960,0.378805,0.288368,0.261249,0.098861,0.144809,0.166515,0.076651,0.227914,0.141397,0.171599,0.176103,0.067328,0.387288,0.092185,0.101909,0.102691,0.146149,0.114617,0.126685,0.172911,0.157302,0.110806,0.081622,0.511213,0.172418,0.077956,0.229504,0.807933,0.071309,0.088889,0.164750,0.189826,0.072004,0.298781,0.171374,0.197511,0.073717,0.144269,0.078170,0.221270,0.073041,0.186924,0.068867,0.230989,0.093044,0.075847,0.073922
    Burst Duration - Std (sec),0.039451,0.720734,0.399377,0.404120,0.058300,0.267597,0.110525,0.016732,0.221943,0.074735,0.058178,0.132487,0.021733,0.295746,0.094699,0.074016,0.130677,0.102083,0.057177,0.075445,0.049806,0.098702,0.037199,0.013350,0.640535,0.280191,0.041350,0.215677,1.273064,0.018213,0.019450,0.174492,0.261379,0.028832,0.375364,0.098492,0.369610,0.021320,0.029586,0.030557,0.280858,0.041236,0.363431,0.019451,0.257233,0.130483,0.024734,0.020774
