AxIS Spike File,O:\TOX\NTX\Users\Lennart\201204_LvM_256127_1305-05_MEA_rCortex_Lindane_exposure_male_DIV11(000)_Spike Detector (7 x STD)(000).spk
File Type,48-well

Analysis Start,1500.000000
Analysis End,2100.000000
Active Electrode Criterion (spks/min),
Remove Coincident Artifacts,True

Electrode Burst Settings,
    Algorithm,Poisson Surprise,
    Min Surprise,10.000000

Network Burst Settings,
    Algorithm,ISI Threshold,Adaptive,
    Min # of Spikes,40.000000
    Min # of Electrodes (%),15.000000
Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),100.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,
Treatment/ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity Metrics
    Number of Spikes,23209.000000,25865.000000,29918.000000,33343.000000,34286.000000,33394.000000,40749.000000,27810.000000,29198.000000,28934.000000,14040.000000,23762.000000,21559.000000,25791.000000,25342.000000,44452.000000,30321.000000,28877.000000,24513.000000,24510.000000,24465.000000,24770.000000,30275.000000,39392.000000,13982.000000,19133.000000,23691.000000,21259.000000,18914.000000,22885.000000,43340.000000,13217.000000,20261.000000,33961.000000,19637.000000,25567.000000,20891.000000,30004.000000,37264.000000,36676.000000,5828.000000,13725.000000,40962.000000,44774.000000,29359.000000,35896.000000,35359.000000,28828.000000
    Mean Firing Rate (Hz),2.417604,2.694271,3.116458,3.473229,3.571458,3.478542,4.244688,2.896875,3.041458,3.013958,1.462500,2.475208,2.245729,2.686563,2.639792,4.630417,3.158437,3.008021,2.553437,2.553125,2.548437,2.580208,3.153646,4.103333,1.456458,1.993021,2.467813,2.214479,1.970208,2.383854,4.514583,1.376771,2.110521,3.537604,2.045521,2.663229,2.176146,3.125417,3.881667,3.820417,0.607083,1.429688,4.266875,4.663958,3.058229,3.739167,3.683229,3.002917
    ISI Coefficient of Variation - Avg,2.996434,3.058928,3.467325,3.391427,3.457789,3.772922,3.821586,3.144673,2.530882,2.646700,2.472754,2.782515,2.821965,2.644382,2.542618,3.097906,3.223271,4.622360,4.218092,4.588221,3.880474,4.024291,3.848674,4.389577,2.627417,2.839368,3.651922,3.363578,3.417771,3.489679,4.440597,2.333999,2.563502,2.878074,2.532781,2.879995,2.727928,2.532365,3.012619,3.200119,2.653548,2.220661,2.874761,3.565832,3.312308,2.692134,2.769381,3.382814
    Number of Active Electrodes,14.000000,16.000000,16.000000,15.000000,16.000000,16.000000,16.000000,15.000000,16.000000,15.000000,15.000000,16.000000,15.000000,16.000000,15.000000,16.000000,16.000000,15.000000,16.000000,16.000000,16.000000,15.000000,16.000000,16.000000,16.000000,16.000000,15.000000,15.000000,14.000000,16.000000,16.000000,12.000000,14.000000,16.000000,15.000000,14.000000,15.000000,16.000000,16.000000,16.000000,15.000000,16.000000,16.000000,16.000000,13.000000,16.000000,16.000000,16.000000
    Weighted Mean Firing Rate (Hz),2.762500,2.694271,3.116458,3.704778,3.571458,3.478542,4.244688,3.089556,3.041458,3.212444,1.560000,2.475208,2.395444,2.686563,2.815778,4.630417,3.158438,3.205889,2.553437,2.553125,2.548437,2.751556,3.153646,4.103333,1.456458,1.993021,2.630556,2.361444,2.251667,2.383854,4.514583,1.826528,2.410833,3.537604,2.181556,3.043690,2.320556,3.125417,3.881667,3.820417,0.643000,1.429688,4.266875,4.663958,3.763974,3.739167,3.683229,3.002917
Electrode Burst Metrics
    Number of Bursts,1034.000000,1658.000000,1818.000000,1957.000000,2204.000000,1960.000000,2279.000000,1311.000000,975.000000,1565.000000,563.000000,1490.000000,1309.000000,1688.000000,1496.000000,2198.000000,2342.000000,1269.000000,1341.000000,1093.000000,1362.000000,1462.000000,1924.000000,2107.000000,629.000000,1161.000000,1299.000000,1532.000000,1368.000000,1495.000000,2060.000000,859.000000,669.000000,1696.000000,1079.000000,1440.000000,1169.000000,1557.000000,1866.000000,1775.000000,415.000000,442.000000,1925.000000,2701.000000,1508.000000,1744.000000,1569.000000,863.000000
    Number of Bursting Electrodes,13.000000,15.000000,15.000000,14.000000,16.000000,16.000000,16.000000,13.000000,16.000000,15.000000,15.000000,16.000000,15.000000,16.000000,15.000000,16.000000,15.000000,15.000000,16.000000,15.000000,16.000000,15.000000,16.000000,16.000000,15.000000,15.000000,15.000000,14.000000,13.000000,15.000000,16.000000,12.000000,14.000000,16.000000,15.000000,14.000000,15.000000,16.000000,15.000000,16.000000,14.000000,16.000000,16.000000,16.000000,13.000000,16.000000,16.000000,16.000000
    Burst Duration - Avg (sec),0.184247,0.134987,0.146949,0.134060,0.107965,0.114100,0.133941,0.171309,0.113510,0.077704,0.120405,0.106366,0.094667,0.076838,0.072507,0.078825,0.045778,0.182110,0.124744,0.195434,0.185381,0.134123,0.170204,0.087920,0.080999,0.135354,0.098148,0.078594,0.078120,0.061943,0.120268,0.059363,0.083438,0.121489,0.077628,0.081166,0.084396,0.090839,0.091569,0.082330,0.060995,0.102062,0.085784,0.072266,0.106030,0.082352,0.174571,0.137829
    Burst Duration - Std (sec),0.024513,0.012073,0.008209,0.008601,0.009407,0.009076,0.011648,0.049582,0.043836,0.022562,0.051063,0.073182,0.059009,0.040257,0.053302,0.014330,0.021223,0.036467,0.026625,0.033704,0.112364,0.023508,0.167594,0.009245,0.027479,0.112770,0.055938,0.020318,0.017710,0.017005,0.045001,0.010286,0.028540,0.035030,0.020020,0.010403,0.030340,0.044281,0.048925,0.015365,0.024085,0.033866,0.026376,0.010582,0.026780,0.047589,0.112044,0.015828
    Number of Spikes per Burst - Avg,13.766304,12.343333,14.907411,14.616172,14.013287,15.393881,16.103064,13.603111,16.394986,11.779635,13.940200,10.962854,11.739307,10.843383,11.309411,14.265235,11.496523,20.338661,17.419845,20.742110,15.857788,16.331243,13.755787,17.921359,13.318054,13.169678,14.512545,11.968134,12.641815,13.179535,18.728162,9.479856,13.964735,13.606307,11.109065,12.245034,11.267248,12.088021,14.098496,15.651243,9.538548,15.112517,13.558224,13.954898,15.098684,13.358212,14.934365,22.311959
    Number of Spikes per Burst - Std,5.807041,3.454092,3.012459,3.402733,3.427839,4.667261,5.118710,4.940853,4.843925,2.701193,5.246709,2.431739,2.878727,2.186503,2.569826,2.799280,3.101706,6.434119,3.978676,6.096861,4.780051,2.519526,3.192265,3.433272,6.427431,7.151478,6.932457,3.764148,3.496629,4.637242,5.446027,3.182613,4.317683,3.136454,3.089800,1.913012,2.566770,2.682322,3.049541,2.424534,4.290538,4.879004,2.796236,1.925643,2.909985,2.521192,4.763239,6.313382
    Mean ISI within Burst - Avg (sec),0.016558,0.012586,0.010543,0.009983,0.008333,0.008746,0.009688,0.013885,0.007536,0.006176,0.009503,0.007594,0.006939,0.006150,0.005601,0.005811,0.004050,0.008987,0.006761,0.008363,0.008034,0.006308,0.009557,0.004835,0.007013,0.009236,0.006754,0.005139,0.004792,0.004362,0.004670,0.007740,0.006164,0.008520,0.007413,0.006021,0.007316,0.008350,0.005948,0.005133,0.008643,0.007004,0.006213,0.005005,0.006149,0.006155,0.011729,0.006159
    Mean ISI within Burst - Std (sec),0.006866,0.003254,0.002402,0.002346,0.002055,0.002610,0.002694,0.005111,0.003110,0.001435,0.003602,0.004542,0.002395,0.004148,0.001560,0.001828,0.001267,0.006851,0.002609,0.005044,0.007535,0.001898,0.008687,0.001277,0.003106,0.006501,0.002741,0.001384,0.001088,0.000997,0.001721,0.002840,0.001978,0.002709,0.002477,0.001153,0.002606,0.005238,0.002658,0.001262,0.005950,0.002294,0.002345,0.000655,0.001354,0.004499,0.011342,0.001922
    Median ISI within Burst - Avg (sec),0.008382,0.004701,0.004705,0.003930,0.003645,0.003937,0.003882,0.004563,0.005934,0.004894,0.007161,0.005816,0.005555,0.005016,0.004551,0.004275,0.003401,0.004589,0.003839,0.004061,0.003708,0.003407,0.004109,0.003157,0.005485,0.007993,0.005374,0.004173,0.004074,0.003652,0.004002,0.006239,0.004791,0.006733,0.006235,0.004740,0.005627,0.006467,0.004700,0.004065,0.006768,0.005153,0.004750,0.003897,0.004983,0.004612,0.008118,0.004275
    Median ISI within Burst - Std (sec),0.006706,0.001541,0.001127,0.000695,0.000556,0.000562,0.000622,0.001044,0.003097,0.001030,0.002573,0.003169,0.001694,0.003433,0.001055,0.001433,0.000665,0.002265,0.000886,0.001670,0.000870,0.000481,0.001359,0.000496,0.002773,0.005547,0.002033,0.000805,0.000897,0.000692,0.001361,0.002109,0.001397,0.002562,0.002371,0.000943,0.002106,0.003371,0.002266,0.000992,0.005148,0.001661,0.001662,0.000537,0.001252,0.002713,0.005654,0.001293
    Median/Mean ISI within Burst - Avg,0.503106,0.418986,0.496344,0.459625,0.510015,0.491077,0.440344,0.397303,0.797292,0.824284,0.802509,0.849764,0.828969,0.851864,0.839436,0.781349,0.876855,0.625993,0.633009,0.570044,0.782976,0.644016,0.768082,0.714938,0.780899,0.883174,0.839434,0.864185,0.872963,0.871729,0.887194,0.827464,0.807077,0.817063,0.842046,0.813458,0.801378,0.812570,0.821004,0.814600,0.800178,0.764726,0.796262,0.798993,0.834857,0.819649,0.811775,0.717586
    Median/Mean ISI within Burst - Std,0.191842,0.140032,0.093725,0.056184,0.083041,0.105788,0.091154,0.134758,0.076113,0.034126,0.068566,0.027774,0.028995,0.019848,0.025196,0.028556,0.082968,0.060105,0.066948,0.057914,0.077680,0.051768,0.129990,0.052988,0.075575,0.059534,0.047194,0.035873,0.029531,0.059561,0.020660,0.084323,0.066292,0.051278,0.065600,0.039871,0.068972,0.056727,0.031059,0.019311,0.069813,0.029830,0.030600,0.021579,0.027612,0.027714,0.084531,0.033317
    Inter-Burst Interval - Avg (sec),10.870359,6.535234,5.158689,5.393559,4.481273,6.271657,4.733494,9.348106,17.527275,22.429435,19.557787,15.170883,13.996133,11.744602,6.961312,5.442234,3.715322,13.683660,7.161339,9.329886,8.365071,6.251863,6.402438,4.608509,26.314676,13.210850,15.250282,6.085696,5.958618,17.765834,6.038926,46.288739,12.518572,9.880520,17.045325,6.281217,12.923756,13.981033,7.274109,6.200095,17.128805,23.214836,7.551787,3.711955,5.604199,13.155405,10.900834,11.331403
    Inter-Burst Interval - Std (sec),9.516842,6.197365,1.644370,4.384882,0.828545,6.188318,2.579990,11.114910,17.656791,57.512153,8.412191,21.347165,25.763831,16.847678,2.949492,3.986701,0.971635,26.057653,0.687284,6.026015,5.033278,0.683488,4.102081,0.495317,28.144001,15.236809,30.097098,2.484108,1.783870,46.775846,5.706433,123.965124,2.612900,11.476459,17.981626,1.963446,14.069363,25.825731,6.690686,2.686831,5.517929,6.943225,7.588284,0.958574,1.684158,23.308047,10.431874,2.288301
    Burst Frequency - Avg (Hz),0.132564,0.184222,0.202000,0.232976,0.229583,0.204167,0.237396,0.168077,0.101563,0.173889,0.062556,0.155208,0.145444,0.175833,0.166222,0.228958,0.260222,0.141000,0.139687,0.121444,0.141875,0.162444,0.200417,0.219479,0.069889,0.129000,0.144333,0.182381,0.175385,0.166111,0.214583,0.119306,0.079643,0.176667,0.119889,0.171429,0.129889,0.162187,0.207333,0.184896,0.049405,0.046042,0.200521,0.281354,0.193333,0.181667,0.163437,0.089896
