AxIS Spike File,O:\DGK\IRAS\TOX\NTX\Users\Lennart\200814_LvM_256063_1298-03_MEA_rCortex_Permethrin_exposure_male_DIV11(000)_Spike Detector (7 x STD)(000).spk
File Type,48-well

Analysis Start,1500.000000
Analysis End,2100.000000
Active Electrode Criterion (spks/min),
Remove Coincident Artifacts,True

Electrode Burst Settings,
    Algorithm,Poisson Surprise,
    Min Surprise,10.000000

Network Burst Settings,
    Algorithm,ISI Threshold,Adaptive,
    Min # of Spikes,40.000000
    Min # of Electrodes (%),15.000000
Synchrony Settings,
    Synchrony Window,20.000000

Evoked Analysis Settings,
    Events,0 to 0
    Peri-stimulus Window Start (ms),0.000000
    Peri-stimulus Window End (ms),100.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,
Treatment/ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity Metrics
    Number of Spikes,59340.000000,49042.000000,54439.000000,58488.000000,32783.000000,39670.000000,40349.000000,58816.000000,46331.000000,23918.000000,30385.000000,30946.000000,31732.000000,41241.000000,47916.000000,25660.000000,17233.000000,24068.000000,29464.000000,20391.000000,23828.000000,13513.000000,21130.000000,37051.000000,27788.000000,28399.000000,16157.000000,27263.000000,22524.000000,17796.000000,25717.000000,46829.000000,27843.000000,24755.000000,24932.000000,15415.000000,23545.000000,22433.000000,0.000000,30662.000000,36282.000000,23363.000000,30358.000000,24983.000000,35709.000000,23469.000000,21724.000000,19901.000000
    Mean Firing Rate (Hz),6.181250,5.108542,5.670729,6.092500,3.414896,4.132292,4.203021,6.126667,4.826146,2.491458,3.165104,3.223542,3.305417,4.295938,4.991250,2.672917,1.795104,2.507083,3.069167,2.124063,2.482083,1.407604,2.201042,3.859479,2.894583,2.958229,1.683021,2.839896,2.346250,1.853750,2.678854,4.878021,2.900313,2.578646,2.597083,1.605729,2.452604,2.336771,0.000000,3.193958,3.779375,2.433646,3.162292,2.602396,3.719688,2.444688,2.262917,2.073021
    ISI Coefficient of Variation - Avg,3.972595,3.509084,3.694685,3.987680,2.976040,3.385170,3.221136,4.520782,3.909144,2.925220,3.266348,3.045351,3.261081,4.417671,3.617067,3.158153,4.358226,5.118070,6.113269,4.176392,4.948321,3.586182,6.018615,5.245255,4.617978,4.731576,4.793120,4.609400,4.631706,4.118007,5.334249,5.355529,4.455113,4.359072,5.602999,4.374275,5.690364,4.696488, ,5.345629,5.110325,4.174417,4.477131,5.888731,4.673431,5.039985,4.239083,4.801515
    Number of Active Electrodes,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,16.000000,15.000000,16.000000,15.000000,16.000000,16.000000,16.000000,16.000000,16.000000,15.000000,15.000000,12.000000,15.000000,16.000000,15.000000,14.000000,14.000000,15.000000,15.000000,14.000000,15.000000,16.000000,16.000000,16.000000,16.000000,15.000000,14.000000,15.000000,0.000000,15.000000,15.000000,16.000000,16.000000,15.000000,16.000000,16.000000,16.000000,16.000000
    Weighted Mean Firing Rate (Hz),6.181250,5.108542,5.670729,6.092500,3.414896,4.132292,4.203021,6.126667,4.826146,2.491458,3.165104,3.437889,3.305417,4.579000,4.991250,2.672917,1.795104,2.507083,3.069167,2.263000,2.642889,1.868194,2.345667,3.859479,3.082333,3.373333,1.921905,3.024778,2.499889,2.117619,2.855333,4.878021,2.900312,2.578646,2.597083,1.712556,2.795833,2.489111, ,3.406889,4.031333,2.433646,3.162292,2.769333,3.719688,2.444688,2.262917,2.073021
Electrode Burst Metrics
    Number of Bursts,1370.000000,1608.000000,2091.000000,1976.000000,1544.000000,1405.000000,1583.000000,1551.000000,1744.000000,1232.000000,1601.000000,1237.000000,1707.000000,1524.000000,1902.000000,995.000000,955.000000,611.000000,704.000000,632.000000,678.000000,665.000000,492.000000,1230.000000,1137.000000,827.000000,527.000000,971.000000,759.000000,692.000000,706.000000,1612.000000,1045.000000,982.000000,640.000000,679.000000,607.000000,923.000000,0.000000,946.000000,1172.000000,1101.000000,1261.000000,822.000000,1288.000000,872.000000,979.000000,917.000000
    Number of Bursting Electrodes,14.000000,16.000000,14.000000,15.000000,14.000000,16.000000,14.000000,15.000000,16.000000,16.000000,15.000000,15.000000,15.000000,15.000000,15.000000,14.000000,16.000000,16.000000,16.000000,15.000000,15.000000,11.000000,15.000000,16.000000,14.000000,14.000000,14.000000,15.000000,15.000000,14.000000,15.000000,16.000000,16.000000,16.000000,16.000000,15.000000,15.000000,15.000000,0.000000,15.000000,14.000000,16.000000,16.000000,15.000000,16.000000,16.000000,16.000000,16.000000
    Burst Duration - Avg (sec),0.263473,0.156495,0.197993,0.164358,0.156885,0.147984,0.145883,0.212520,0.153768,0.122405,0.113445,0.127439,0.132506,0.200284,0.164044,0.142432,0.125153,0.267689,0.376572,0.188447,0.222483,0.191742,0.405898,0.171576,0.139705,0.172797,0.202605,0.213851,0.249852,0.199154,0.196292,0.185620,0.250847,0.134727,0.318506,0.138405,0.250956,0.148765, ,0.253937,0.165645,0.113729,0.135461,0.272878,0.177454,0.223858,0.120328,0.112200
    Burst Duration - Std (sec),0.134663,0.104130,0.080553,0.070365,0.058499,0.103135,0.071625,0.113078,0.084257,0.067175,0.044214,0.082182,0.052313,0.094260,0.119529,0.085611,0.077508,0.259175,0.385213,0.157504,0.170875,0.150923,0.395704,0.113057,0.091950,0.133187,0.175942,0.151560,0.186069,0.131656,0.084935,0.149282,0.231252,0.074722,0.326976,0.042292,0.234674,0.073044, ,0.208830,0.052483,0.063807,0.071076,0.134888,0.116902,0.061421,0.045683,0.039694
    Number of Spikes per Burst - Avg,28.308909,18.894451,20.662451,22.654990,14.162705,17.316210,17.233138,29.813721,20.601825,11.493123,13.930689,13.830883,14.201529,21.586936,19.118658,16.712059,16.897023,31.172463,39.771034,22.691780,29.078548,16.887284,38.502626,28.437881,20.670177,26.479209,25.286723,25.121337,23.770991,20.254123,30.638859,26.879314,21.086735,20.744291,33.777984,20.213001,30.363547,19.722502, ,27.159978,28.504978,18.614752,21.669532,27.148955,24.455043,23.483452,18.783604,20.140575
    Number of Spikes per Burst - Std,18.168386,14.136240,8.899557,12.088601,5.670991,13.973011,10.192106,19.896117,13.895244,6.233982,5.918014,9.469950,5.276647,9.655650,14.147970,10.038061,7.393346,25.702172,31.492618,20.306770,20.500554,8.637367,24.021707,13.005908,14.213103,17.013570,19.696290,19.735492,14.565646,11.143723,15.768936,20.049584,16.901682,10.487789,36.409962,11.018461,15.414795,9.315786, ,15.023329,9.905548,8.737564,9.795876,11.862056,10.104965,10.094548,9.721646,7.237348
    Mean ISI within Burst - Avg (sec),0.012355,0.008984,0.010313,0.008629,0.012267,0.009472,0.009662,0.008556,0.009058,0.011601,0.008944,0.010551,0.010085,0.010676,0.009327,0.010626,0.006657,0.009313,0.008966,0.010404,0.008629,0.014726,0.010769,0.006053,0.007901,0.007409,0.009265,0.009575,0.012514,0.010382,0.007497,0.007719,0.012259,0.007092,0.010614,0.008435,0.008218,0.007995, ,0.008099,0.006703,0.006489,0.006706,0.011157,0.008060,0.009216,0.007628,0.006153
    Mean ISI within Burst - Std (sec),0.009612,0.004708,0.003572,0.003385,0.003743,0.002478,0.004598,0.003056,0.003656,0.003494,0.002463,0.004503,0.001811,0.006148,0.002966,0.007517,0.002707,0.003458,0.002578,0.003251,0.002469,0.018510,0.005354,0.001656,0.003194,0.002010,0.003065,0.002843,0.006589,0.004106,0.002488,0.004605,0.010580,0.002158,0.003573,0.003061,0.003546,0.002361, ,0.003100,0.002956,0.002244,0.001591,0.007935,0.006062,0.004789,0.004132,0.001945
    Median ISI within Burst - Avg (sec),0.008746,0.007314,0.008250,0.006451,0.009606,0.007012,0.007606,0.006531,0.007379,0.008483,0.006580,0.007711,0.007692,0.008052,0.007033,0.007919,0.004506,0.007017,0.006120,0.007437,0.005807,0.007736,0.007195,0.004385,0.005874,0.005487,0.006242,0.006929,0.009116,0.007376,0.005433,0.005392,0.007680,0.004748,0.007121,0.006232,0.005858,0.005251, ,0.004876,0.004843,0.004571,0.004865,0.005704,0.005901,0.004880,0.004973,0.004227
    Median ISI within Burst - Std (sec),0.004625,0.004456,0.003726,0.003176,0.003670,0.001917,0.004240,0.002485,0.003367,0.003094,0.001929,0.003154,0.002052,0.004692,0.003248,0.006319,0.001468,0.003403,0.001648,0.002906,0.001647,0.004846,0.003804,0.001113,0.002468,0.001733,0.002074,0.002366,0.005285,0.003069,0.001959,0.002749,0.005681,0.001327,0.002517,0.002741,0.002908,0.001224, ,0.001309,0.002344,0.001480,0.001630,0.003812,0.004854,0.001822,0.002419,0.001364
    Median/Mean ISI within Burst - Avg,0.780897,0.814190,0.791107,0.744335,0.775659,0.759363,0.791077,0.774227,0.813514,0.753474,0.754179,0.747597,0.765286,0.762397,0.749574,0.761746,0.763578,0.750490,0.703984,0.729461,0.694247,0.685793,0.689275,0.739477,0.755983,0.752371,0.690884,0.730239,0.736415,0.717261,0.737852,0.732792,0.724664,0.700937,0.702558,0.735489,0.719305,0.716478, ,0.684303,0.723819,0.723727,0.731127,0.650159,0.731892,0.667257,0.705532,0.714719
