AxIS Spike File,O:\TOX\NTX\Users\Lennart\201121_LvM_256120_1234-53_MEA_rCortex_Permethrin_baseline_male_DIV11(000)_Spike Detector (7 x STD)(000).spk
File Type,48-well

Analysis Start,1200.000000
Analysis End,1800.000000
Active Electrode Criterion (spks/min),
Remove Coincident Artifacts,True

Electrode Burst Settings,
    Algorithm,Poisson Surprise,
    Min Surprise,10.000000

Network Burst Settings,
    Algorithm,ISI Threshold,Adaptive,
    Min # of Spikes,40.000000
    Min # of Electrodes (%),15.000000
Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),100.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,
Treatment/ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity Metrics
    Number of Spikes,8654.000000,12573.000000,16412.000000,18124.000000,16165.000000,23310.000000,6507.000000,13778.000000,13025.000000,11545.000000,9828.000000,15359.000000,19122.000000,23297.000000,11082.000000,16020.000000,15720.000000,14603.000000,15384.000000,14433.000000,17412.000000,13543.000000,15873.000000,18568.000000,10985.000000,5377.000000,12488.000000,10818.000000,14616.000000,14484.000000,24902.000000,17708.000000,10305.000000,18342.000000,15679.000000,17714.000000,11456.000000,15523.000000,21297.000000,26859.000000,16558.000000,10747.000000,12070.000000,6985.000000,17240.000000,24063.000000,15736.000000,23587.000000
    Mean Firing Rate (Hz),0.901458,1.309687,1.709583,1.887917,1.683854,2.428125,0.677813,1.435208,1.356771,1.202604,1.023750,1.599896,1.991875,2.426771,1.154375,1.668750,1.637500,1.521146,1.602500,1.503438,1.813750,1.410729,1.653437,1.934167,1.144271,0.560104,1.300833,1.126875,1.522500,1.508750,2.593958,1.844583,1.073438,1.910625,1.633229,1.845208,1.193333,1.616979,2.218437,2.797813,1.724792,1.119479,1.257292,0.727604,1.795833,2.506562,1.639167,2.456979
    ISI Coefficient of Variation - Avg,2.427366,2.555287,3.020513,3.287230,2.850647,2.910327,2.456817,2.763309,2.849781,2.807554,2.999048,3.191464,3.192635,2.863541,2.860937,2.572846,2.462427,3.431496,2.769444,3.005639,3.569783,3.312665,3.645854,3.195232,2.720051,2.419657,3.804232,3.434014,3.344843,2.886822,3.182108,2.810497,2.710202,3.780034,3.313338,3.884353,3.081998,3.769135,3.733283,3.288285,2.600522,2.638643,2.799371,2.825565,2.918701,3.029439,2.921488,3.545040
    Number of Active Electrodes,13.000000,12.000000,13.000000,16.000000,15.000000,14.000000,9.000000,13.000000,12.000000,12.000000,15.000000,15.000000,14.000000,15.000000,15.000000,15.000000,15.000000,12.000000,14.000000,15.000000,13.000000,14.000000,14.000000,16.000000,12.000000,14.000000,11.000000,11.000000,12.000000,16.000000,16.000000,15.000000,12.000000,15.000000,15.000000,15.000000,14.000000,13.000000,15.000000,14.000000,14.000000,15.000000,12.000000,9.000000,14.000000,16.000000,12.000000,14.000000
    Weighted Mean Firing Rate (Hz),1.103846,1.744583,2.097051,1.887917,1.795778,2.764881,1.191667,1.749872,1.808750,1.587361,1.092000,1.701556,2.273214,2.588556,1.230111,1.776444,1.746556,2.015000,1.824167,1.599556,2.226795,1.604286,1.888810,1.934167,1.518611,0.637619,1.878788,1.632879,2.024167,1.508750,2.593958,1.967222,1.421528,2.033667,1.741333,1.965000,1.361071,1.977308,2.363556,3.195833,1.958690,1.193889,1.669167,1.277778,2.047619,2.506563,2.182083,2.803690
Electrode Burst Metrics
    Number of Bursts,539.000000,670.000000,976.000000,975.000000,959.000000,1020.000000,443.000000,961.000000,741.000000,651.000000,652.000000,887.000000,1017.000000,938.000000,594.000000,1129.000000,798.000000,930.000000,857.000000,823.000000,777.000000,734.000000,886.000000,1070.000000,667.000000,437.000000,469.000000,640.000000,749.000000,923.000000,1414.000000,1098.000000,775.000000,971.000000,1036.000000,708.000000,646.000000,655.000000,1171.000000,1380.000000,773.000000,706.000000,553.000000,424.000000,1056.000000,1361.000000,942.000000,1223.000000
    Number of Bursting Electrodes,11.000000,12.000000,13.000000,16.000000,14.000000,14.000000,9.000000,13.000000,12.000000,12.000000,15.000000,14.000000,14.000000,15.000000,14.000000,15.000000,15.000000,11.000000,14.000000,15.000000,14.000000,14.000000,13.000000,15.000000,12.000000,13.000000,13.000000,11.000000,12.000000,16.000000,16.000000,15.000000,11.000000,15.000000,15.000000,14.000000,14.000000,12.000000,15.000000,13.000000,15.000000,15.000000,11.000000,9.000000,13.000000,16.000000,12.000000,14.000000
    Burst Duration - Avg (sec),0.118095,0.150222,0.141668,0.205742,0.149081,0.145553,0.091313,0.073043,0.131068,0.119996,0.120474,0.261558,0.122839,0.118332,0.230390,0.132674,0.108207,0.122459,0.170043,0.235931,0.228972,0.176979,0.135597,0.174362,0.164285,0.092645,0.251567,0.135501,0.158874,0.121377,0.110807,0.119981,0.073441,0.190477,0.180758,0.234412,0.150257,0.157253,0.152566,0.187525,0.294158,0.176791,0.388559,0.145376,0.136734,0.129011,0.209480,0.197119
    Burst Duration - Std (sec),0.030047,0.052071,0.046495,0.258118,0.063655,0.099509,0.024389,0.041965,0.041188,0.050531,0.046859,0.391628,0.021219,0.034547,0.174527,0.201030,0.029114,0.018304,0.077620,0.199624,0.144412,0.064197,0.054011,0.116180,0.207265,0.038818,0.158803,0.039596,0.077380,0.045507,0.044125,0.058397,0.013777,0.146260,0.153199,0.084315,0.112854,0.034599,0.071872,0.175538,0.307856,0.198821,0.453940,0.138311,0.076318,0.049260,0.304245,0.132543
    Number of Spikes per Burst - Avg,10.677099,11.748899,12.574318,13.768700,12.664000,14.006621,9.497821,9.700615,12.217333,11.720884,11.751209,14.504821,13.390680,14.775263,13.378800,10.660108,11.195889,13.879709,12.098552,13.832131,16.582345,14.049363,15.202074,14.737867,11.961279,8.710568,16.978681,13.925644,13.100269,11.434301,12.850420,11.050625,10.486541,16.166823,13.504778,19.519367,11.558549,17.428485,13.821647,15.430233,12.874916,11.253191,13.952712,13.083049,12.090507,12.692032,12.426662,16.369804
    Number of Spikes per Burst - Std,2.969966,2.926883,3.409614,5.707349,3.425497,5.285202,2.136155,2.896986,3.766570,5.193392,5.050461,5.466176,5.720348,6.252718,4.478637,4.272884,3.496916,4.138692,3.235357,4.810524,8.447512,5.385021,7.271261,5.446588,5.114849,2.471401,10.150917,5.590632,5.451879,4.709352,4.271735,4.473758,2.814477,5.260426,3.644283,9.000197,4.048236,5.580795,3.963286,5.091920,4.096785,2.982787,4.495998,8.562844,2.291322,4.452676,4.184239,3.310893
